=== DETALHAMENTO POR BRANCH (Últimos 10 Commits) ===
Data de Geração: 02/10/2025 17:21:19
""
Projeto,Grupo,Branch,Usuários,Total Commits,Commits com IA,% IA,Commits sem IA,% sem IA
ms-neg-api,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/transformation,main,2,10,0,0.0,10,100.0
scr_crd_pf_sta_deploy_v14,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pf,homolog,2,10,0,0.0,10,100.0
scr_crd_pf_sta_deploy_v14,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pf,master,2,10,0,0.0,10,100.0
scr_crd_pj_ger_ger_p7,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,homolog,1,1,0,0.0,1,100.0
scr_crd_pj_ger_ger_p7,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,master,1,1,0,0.0,1,100.0
ms-notify-job,recuperacao/negativacao-estrategica/transformation,development,3,10,0,0.0,10,100.0
ms-notify-job,recuperacao/negativacao-estrategica/transformation,homolog,3,10,0,0.0,10,100.0
ms-notify-job,recuperacao/negativacao-estrategica/transformation,main,3,10,0,0.0,10,100.0
ms-reproc-job,recuperacao/negativacao-estrategica/transformation,development,1,10,0,0.0,10,100.0
ms-reproc-job,recuperacao/negativacao-estrategica/transformation,homolog,1,10,0,0.0,10,100.0
ms-reproc-job,recuperacao/negativacao-estrategica/transformation,main,1,10,0,0.0,10,100.0
ms-query-api,recuperacao/negativacao-estrategica/transformation,development,4,10,0,0.0,10,100.0
ms-query-api,recuperacao/negativacao-estrategica/transformation,homolog,4,10,0,0.0,10,100.0
ms-query-api,recuperacao/negativacao-estrategica/transformation,main,4,10,0,0.0,10,100.0
ms-as400-gw,recuperacao/negativacao-estrategica/transformation,development,3,10,0,0.0,10,100.0
ms-as400-gw,recuperacao/negativacao-estrategica/transformation,homolog,3,10,0,0.0,10,100.0
ms-as400-gw,recuperacao/negativacao-estrategica/transformation,main,3,10,0,0.0,10,100.0
ms-as400,wesley.yoneyama,main,2,2,0,0.0,2,100.0
ms-persist-job,recuperacao/negativacao-estrategica/transformation,development,3,10,0,0.0,10,100.0
ms-persist-job,recuperacao/negativacao-estrategica/transformation,homolog,3,10,0,0.0,10,100.0
ms-persist-job,recuperacao/negativacao-estrategica/transformation,main,3,10,0,0.0,10,100.0
notebooks_auxiliares_amostragem,modelos-de-mercado,main,1,5,0,0.0,5,100.0
ms-neg-api,recuperacao/negativacao-estrategica/transformation,development,3,10,0,0.0,10,100.0
ms-neg-api,recuperacao/negativacao-estrategica/transformation,homolog,2,10,0,0.0,10,100.0
ms-neg-api,recuperacao/negativacao-estrategica/transformation,main,2,10,0,0.0,10,100.0
credit-analyst,tech/site-reliability-engineering/credit-services/relatorio-credito-pf/agente-ai,main,2,10,0,0.0,10,100.0
FeatureSelector,daniel.pachon,main,1,1,0,0.0,1,100.0
scr_crd_pf_ccr_ger_neon,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,homolog,1,1,0,0.0,1,100.0
scr_crd_pf_ccr_ger_neon,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,master,1,1,0,0.0,1,100.0
ms-params-config,tr_jbenvenuto,main,3,10,0,0.0,10,100.0
scr_crd_pf_ccr_banc_specialpresentationv1,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pf,homolog,1,1,0,0.0,1,100.0
scr_crd_pf_ccr_banc_specialpresentationv1,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pf,master,1,1,0,0.0,1,100.0
login-service-ejb,silvio.toledo,development,5,10,0,0.0,10,100.0
login-service-ejb,silvio.toledo,homolog,5,10,0,0.0,10,100.0
login-service-ejb,silvio.toledo,main,5,10,0,0.0,10,100.0
login-service-ejb,silvio.toledo,master,2,10,0,0.0,10,100.0
api-acceptance,tech/site-reliability-engineering/backoffice/onboarding,main,2,10,0,0.0,10,100.0
quickfeat,bruno.rateiro,master,2,10,0,0.0,10,100.0
scr_crd_pf_ger_ger_willep,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,homolog,3,10,0,0.0,10,100.0
scr_crd_pf_ger_ger_willep,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,master,3,10,0,0.0,10,100.0
scr_crd_pf_vei_ger_vw,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,homolog,1,1,0,0.0,1,100.0
scr_crd_pf_vei_ger_vw,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,master,1,1,0,0.0,1,100.0
scr_crd_pf_ccr_cea_cea,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,homolog,1,1,0,0.0,1,100.0
scr_crd_pf_ccr_cea_cea,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,master,1,1,0,0.0,1,100.0
bvs-storage-notification,leonardo.pimentel,main,3,10,0,0.0,10,100.0
ppe-df-export-data,data/dados-restritivos/ppe,main,2,3,0,0.0,3,100.0
scr_crd_pf_ger_ger_bradescard,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,homolog,1,1,0,0.0,1,100.0
scr_crd_pf_ger_ger_bradescard,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,master,1,1,0,0.0,1,100.0
scr_crd_pf_vei_ger_safravdeploy,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,homolog,2,10,0,0.0,10,100.0
scr_crd_pf_vei_ger_safravdeploy,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,master,2,10,0,0.0,10,100.0
credit-analyst,credit-services/relatorio-credito-pf/agente-ai,development,2,10,0,0.0,10,100.0
credit-analyst,credit-services/relatorio-credito-pf/agente-ai,homolog,2,10,0,0.0,10,100.0
credit-analyst,credit-services/relatorio-credito-pf/agente-ai,main,1,1,0,0.0,1,100.0
relatorio-credito-pf-core-lib,credit-services/relatorio-credito-pf,development,1,10,0,0.0,10,100.0
relatorio-credito-pf-core-lib,credit-services/relatorio-credito-pf,homolog,3,6,0,0.0,6,100.0
relatorio-credito-pf-core-lib,credit-services/relatorio-credito-pf,main,3,6,0,0.0,6,100.0
scr_crd_pj_ccr_ger_bvs,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,homolog,1,1,0,0.0,1,100.0
scr_crd_pj_ccr_ger_bvs,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,master,1,1,0,0.0,1,100.0
report-platform-apoio-cadastral,tech/site-reliability-engineering/report-platform/data-services-support,main,2,10,0,0.0,10,100.0
faturamento_pj_notebooks,modelos-de-mercado,main,1,2,0,0.0,2,100.0
report-platform-apoio-cadastral,report-platform/data-services-support,development,3,10,0,0.0,10,100.0
report-platform-apoio-cadastral,report-platform/data-services-support,homolog,3,10,0,0.0,10,100.0
report-platform-apoio-cadastral,report-platform/data-services-support,main,3,10,0,0.0,10,100.0
report-platform-qa-concessao-if,report-platform/qa-concessao-if,development,1,1,0,0.0,1,100.0
report-platform-qa-concessao-if,report-platform/qa-concessao-if,homolog,1,1,0,0.0,1,100.0
report-platform-qa-concessao-if,report-platform/qa-concessao-if,main,1,1,0,0.0,1,100.0
api-edh,backoffice/onboarding,development,3,10,0,0.0,10,100.0
api-edh,backoffice/onboarding,homolog,1,1,0,0.0,1,100.0
api-edh,backoffice/onboarding,main,1,1,0,0.0,1,100.0
report-platform-acoes-civeis,ronaldo.domingues,master,2,10,0,0.0,10,100.0
relatorio-credito-pf-telco-api,credit-services/relatorio-credito-telco,development,5,9,0,0.0,9,100.0
relatorio-credito-pf-telco-api,credit-services/relatorio-credito-telco,homolog,1,1,0,0.0,1,100.0
relatorio-credito-pf-telco-api,credit-services/relatorio-credito-telco,main,1,1,0,0.0,1,100.0
api-ems,backoffice/onboarding,development,4,10,0,0.0,10,100.0
api-ems,backoffice/onboarding,homolog,4,10,0,0.0,10,100.0
api-ems,backoffice/onboarding,main,4,10,0,0.0,10,100.0
scr_crd_pj_sta_deploy_v09,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,homolog,2,10,0,0.0,10,100.0
