Project Name,Total Commits,AI Copilot Commits,AI Copilot %,AI Manual Commits,AI Manual %,No AI Commits,No AI %
dsl-bvs-data-sp,1,0,0.0,0,0.0,1,100.0
gke-tls-update,8,0,0.0,0,0.0,8,100.0
scr_crd_pj_sta_deploy_v12,1,0,0.0,0,0.0,1,100.0
scr_crd_pf_sta_deploy_v13,1,0,0.0,0,0.0,1,100.0
tabela de classificacao - Teorica e Empirica,3,0,0.0,0,0.0,3,100.0
PGFN Trade Dataflow File Raw,37,0,0.0,0,0.0,37,100.0
mascote-ai-frontend,11,0,0.0,0,0.0,11,100.0
scr_crd_pf_sta_deploy_v12,9,0,0.0,0,0.0,9,100.0
scr_crd_pf_sta_deploy_v320,1,0,0.0,0,0.0,1,100.0
metric-store-dags,43,0,0.0,0,0.0,43,100.0
dynatrace-metrics-extractor-tech-sp,1,0,0.0,0,0.0,1,100.0
scr_crd_pf_ccr_ger_dmcard,7,0,0.0,0,0.0,7,100.0
mascote-ai-backend,13,0,0.0,0,0.0,13,100.0
test_filesave,1,0,0.0,0,0.0,1,100.0
default_icvarejo,24,0,0.0,0,0.0,24,100.0
scr_crd_pf_test_efx_bvs,1,0,0.0,0,0.0,1,100.0
shipping-portal-front,27,0,0.0,0,0.0,27,100.0
scr_crd_pj_vei_ger_bradesco,1,0,0.0,0,0.0,1,100.0
IAM,100,0,0.0,0,0.0,100,100.0
bvsas-template,100,0,0.0,0,0.0,100,100.0
documentacao_v2,1,0,0.0,0,0.0,1,100.0
secondary-codcos-onboarding,49,0,0.0,0,0.0,49,100.0
pgfn-trade-api-qk,30,0,0.0,0,0.0,30,100.0
SERVICE - IC FLEX,51,0,0.0,0,0.0,51,100.0
job-update-database,10,0,0.0,0,0.0,10,100.0
pipeline-ingestion-as400-inquiry,1,0,0.0,0,0.0,1,100.0
pipeline-ingestion-as400-inhibition,1,0,0.0,0,0.0,1,100.0
terraform2.0,100,0,0.0,0,0.0,100,100.0
domain-services-bvs-data-sp,9,0,0.0,0,0.0,9,100.0
domain-services-bvs,66,0,0.0,0,0.0,66,100.0
scr_crd_pf_crp_ger_99,1,0,0.0,0,0.0,1,100.0
domain-services-bvs,52,0,0.0,0,0.0,52,100.0
test_limcredpj,1,0,0.0,0,0.0,1,100.0
gbp-avro-merge,1,0,0.0,0,0.0,1,100.0
scr_prp_pj_capgiro_ger_bvs,9,0,0.0,0,0.0,9,100.0
grupo-economico-produtos-sp,1,0,0.0,0,0.0,1,100.0
api-acceptance,83,0,0.0,0,0.0,83,100.0
domain-services-data-sp,1,0,0.0,0,0.0,1,100.0
shipping-portal-ingestor,25,0,0.0,0,0.0,25,100.0
DevSecJourney Store,100,0,0.0,0,0.0,100,100.0
api-central-de-ajuda,5,0,0.0,0,0.0,5,100.0
Java Libs Commerce,6,0,0.0,0,0.0,6,100.0
api-central-de-ajuda,35,0,0.0,0,0.0,35,100.0
MIGRACAO-SCRIPTS,5,0,0.0,0,0.0,5,100.0
BAU-SCRIPTS,4,0,0.0,0,0.0,4,100.0
gitlab-profile,0,0,0,0,0,0,0
RPA0034-CONSULTA-HISTORICA-EBV,1,0,0.0,0,0.0,1,100.0
RPA0011-COSMEN,1,0,0.0,0,0.0,1,100.0
RPA0011_EBV_COSMEN,1,0,0.0,0,0.0,1,100.0
teste,2,0,0.0,0,0.0,2,100.0
mock-data-scripts,1,0,0.0,0,0.0,1,100.0
Billing e variação de consumo,100,0,0.0,0,0.0,100,100.0
extratordyna,34,0,0.0,0,0.0,34,100.0
scr_crd_pf_ger_ger_mercantil2025,21,0,0.0,0,0.0,21,100.0
IAM,100,0,0.0,0,0.0,100,100.0
Composer v2,2,0,0.0,0,0.0,2,100.0
default_umsetezeroneg,8,0,0.0,0,0.0,8,100.0
default_oitoseteneg,7,0,0.0,0,0.0,7,100.0
default_novecinconeg,7,0,0.0,0,0.0,7,100.0
default_escolaridadeneg,8,0,0.0,0,0.0,8,100.0
default_debatvneg,7,0,0.0,0,0.0,7,100.0
test_escolaridadeneg,1,0,0.0,0,0.0,1,100.0
