=== RELATÓRIO DE ADOÇÃO DE INTELIGÊNCIA ARTIFICIAL (Últimos 10 Commits) ===
Data de Geração: 02/10/2025 19:37:00
""
RESUMO POR PROJETO
Projeto,Grupo,Usuários Commits,Total Commits,Commits com IA,% IA,Commits sem IA,% sem IA,% do Total Geral
relatorio-credito-pj-front,tech/site-reliability-engineering/credit-services/relatorio-credito-pj,2,10,0,0.0,10,100.0,0.022
report-platform-healthcheck,report-platform/backoffice,4,10,0,0.0,10,100.0,0.022
default_magalu,analytics/plataforma-analytics/modelos-indicador/default,1,1,0,0.0,1,100.0,0.0022
gbp-files-encrypt,analytics/plataforma-analytics/bvsas,3,12,0,0.0,12,100.0,0.0264
di-cdc-konduto,tech/site-reliability-engineering/data/dados-inovacao/batch,2,3,0,0.0,3,100.0,0.0066
di-cdc-konduto-data-us,argocd,1,1,0,0.0,1,100.0,0.0022
report-platform-healthcheck,tech/site-reliability-engineering/report-platform/backoffice,3,10,0,0.0,10,100.0,0.022
d2c-efx-fortress-notification,tech/bigdata/data-engineering/d2c,2,4,0,0.0,4,100.0,0.0088
scr_crd_pf_ccr_banc_bvs,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
di-cdc-konduto,data/dados-inovacao/batch,2,11,0,0.0,11,100.0,0.0242
test_testemodelonome,analytics/plataforma-analytics/modelos-cea/test,1,1,0,0.0,1,100.0,0.0022
scr_crd_pf_ccr_banc_modeloteste,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
dag-monitoring,analytics/plataforma-analytics/dags,2,9,0,0.0,9,100.0,0.0198
Shipping Portal Bff,recuperacao/negativacao-estrategica/shipping-portal,4,11,0,0.0,11,100.0,0.0242
default_icfinancialsmb,analytics/plataforma-analytics/modelos-indicador/default,3,7,0,0.0,7,100.0,0.0154
monitoramento-batch-tech-sp,argocd,2,2,0,0.0,2,100.0,0.0044
extrator-remessas,data/protestos-aquisicao/data-engineering/command,1,5,0,0.0,5,100.0,0.011
mon-ai-java-api,tech/monitoramento-batch,4,7,0,0.0,7,100.0,0.0154
mon-ai-api,tech/monitoramento-batch,3,12,0,0.0,12,100.0,0.0264
scr_crd_pf_ger_ger_casasbahialoja,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,3,11,0,0.0,11,100.0,0.0242
portal-frontend,tech/site-reliability-engineering/jornada-do-cliente/customer-portal,2,2,0,0.0,2,100.0,0.0044
Litmus-Chaos-Argo-Plugin,tech/site-reliability-engineering/devops-tools,2,10,0,0.0,10,100.0,0.022
scr_crd_pf_ger_ger_magalu,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,3,7,0,0.0,7,100.0,0.0154
ocelot,tech/bigdata/data-engineering/jaguar,1,1,0,0.0,1,100.0,0.0022
teste1,backoffice/rpa/uipath-ebv,1,1,0,0.0,1,100.0,0.0022
metric-store-template-sql,analytics/plataforma-analytics/metric-store,2,2,0,0.0,2,100.0,0.0044
cert-customer-portal-canais-sp,argocd,1,1,0,0.0,1,100.0,0.0022
scr_crd_pj_sta_deploy_v1,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,1,1,0,0.0,1,100.0,0.0022
iceberg-feature-store,analytics/plataforma-analytics/bvsas/cea-hist-feature-store,1,1,0,0.0,1,100.0,0.0022
scr_bhv_pj_ger_ger_bradesco,analytics/plataforma-analytics/modelos-cea/customizado/behaviour/2025/pj,1,1,0,0.0,1,100.0,0.0022
scr_frd_pf_ger_sympla_fraude,analytics/plataforma-analytics/modelos-cea/customizado/fraude/2025/pf,1,1,0,0.0,1,100.0,0.0022
customer-portal-fe,backoffice/efx4biz,2,10,0,0.0,10,100.0,0.022
forge-rq-model-train,konduto/mle,3,8,0,0.0,8,100.0,0.0176
shipping-portal-bff,recuperacao/negativacao-estrategica,1,1,0,0.0,1,100.0,0.0022
test_mlpipeline,analytics/plataforma-analytics/modelos-cea/test,1,1,0,0.0,1,100.0,0.0022
otel-collector,tech/site-reliability-engineering/devops-tools,1,10,0,0.0,10,100.0,0.022
dm-bacen-rotativos,analytics/plataforma-analytics/dags/dw-analytics,3,11,0,0.0,11,100.0,0.0242
di-pgfn-api-score,tech/site-reliability-engineering/data/dados-alternativos,2,2,0,0.0,2,100.0,0.0044
di-dados-publicos,data/dados-inovacao/batch/dados-publicos,4,14,0,0.0,14,100.0,0.0308
di-flight-control,data/dados-inovacao/batch,3,11,0,0.0,11,100.0,0.0242
di-pgfn-api-score,data/dados-inovacao,1,1,0,0.0,1,100.0,0.0022
scr_crd_pf_vei_ger_safra,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
scr_crd_pf_imo_ger_p7featimo,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,3,10,0,0.0,10,100.0,0.022
scr_crd_pf_ccr_ger_afinz,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,3,8,0,0.0,8,100.0,0.0176
default_faixasp6p7,analytics/plataforma-analytics/modelos-indicador/default,3,7,0,0.0,7,100.0,0.0154
scr_crd_pf_ger_ger_grupopereira,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,3,8,0,0.0,8,100.0,0.0176
metric-store-data2-us,argocd,5,8,0,0.0,8,100.0,0.0176
scr_crd_pf_mix_ger_p7featmix,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,2,11,0,0.0,11,100.0,0.0242
report-platform-balanco-patrimonial,tech/site-reliability-engineering/report-platform/data-services,2,2,0,0.0,2,100.0,0.0044
template-fastapi,tech/site-reliability-engineering/analytics/plataforma-analytics/metric-store,2,3,0,0.0,3,100.0,0.0066
report-platform-grupo-economico,tech/site-reliability-engineering/report-platform/data-services,2,10,0,0.0,10,100.0,0.022
metric-store-calculation,tech/site-reliability-engineering/analytics/plataforma-analytics/metric-store,2,10,0,0.0,10,100.0,0.022
metric-store-book,tech/site-reliability-engineering/analytics/plataforma-analytics/metric-store,2,10,0,0.0,10,100.0,0.022
report-platform-grupo-economico,report-platform/data-services,4,18,0,0.0,18,100.0,0.0396
metric-store-delivery,tech/site-reliability-engineering/analytics/plataforma-analytics/metric-store,2,10,0,0.0,10,100.0,0.022
scr_crd_pf_crp_ger_99app2,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,3,9,0,0.0,9,100.0,0.0198
secondary-codcos-onboarding,backoffice/batch,4,10,0,0.0,10,100.0,0.022
scr_crd_pf_ger_ger_casasbahia,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
scr_crd_pf_crp_ger_99app,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
metric-store-engine,analytics/plataforma-analytics/metric-store,2,10,0,0.0,10,100.0,0.022
model-monitor-tests,analytics/monitoramento,3,21,0,0.0,21,100.0,0.0462
dag-encrypt-decrypt-files-pgp,analytics/plataforma-analytics/ignite,1,10,0,0.0,10,100.0,0.022
scr_crd_pf_deploy_pnm_v3,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pf,2,11,0,0.0,11,100.0,0.0242
scr_crd_pf_ger_ger_safra,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
scr_crd_pf_crp_ger_p7featcrp,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,3,9,0,0.0,9,100.0,0.0198
